dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-08-04_19-07-30,NPC-4629,174,21,562,0,0
22-08-04_19-07-30,NPC-4629,63,53,567,0,0
22-08-04_19-07-36,NPC-4605,120,27,953,0,0
22-08-04_19-07-36,NPC-4605,2,23,958,0,0
22-08-04_19-07-37,NPC-4605,3,23,963,0,0
22-08-04_19-07-37,NPC-4605,2,23,968,0,0
22-08-04_19-07-37,NPC-4605,2,23,973,0,0
22-08-04_19-07-38,NPC-4605,2,23,978,0,0
22-08-04_19-07-38,NPC-4605,2,23,983,0,0
22-08-04_19-07-38,NPC-4605,3,23,988,0,0
22-08-04_19-07-39,NPC-4605,3,23,993,0,0
22-08-04_19-07-39,NPC-4605,2,23,998,0,0
22-08-04_19-07-39,NPC-4605,2,23,1003,0,0
22-08-04_19-07-39,NPC-4605,2,23,1008,0,0
22-08-04_19-07-43,New_NPC (81),99,5,1265,0,0
22-08-04_19-07-44,New_NPC (81),100,8,1276,0,0
22-08-04_19-07-45,New_NPC (81),140,13,1380,0,0
22-08-04_19-07-46,New_NPC (81),99,46,1385,0,0
22-08-04_19-07-47,New_NPC (81),100,70,1486,0,0
22-08-04_19-07-48,New_NPC (81),101,6,1491,0,0
22-08-04_19-07-48,New_NPC (81),101,6,1496,0,0
22-08-04_19-07-48,New_NPC (81),101,6,1501,0,0
22-08-04_19-07-49,New_NPC (81),101,6,1506,0,0
22-08-04_19-07-49,New_NPC (81),101,63,1512,0,0
22-08-04_19-07-49,New_NPC (81),101,67,1518,0,0
22-08-04_19-07-50,New_NPC (81),101,69,1523,0,0
22-08-04_19-07-50,New_NPC (81),101,69,1528,0,0
22-08-04_19-07-50,New_NPC (81),101,48,1533,0,0
22-08-04_19-07-51,New_NPC (81),101,66,1538,0,0
22-08-04_19-07-51,New_NPC (81),14,57,1544,0,0
22-08-04_19-07-51,New_NPC (81),14,57,1550,0,0
22-08-04_19-07-51,New_NPC (81),101,53,1554,0,0
22-08-04_19-07-52,New_NPC (81),14,57,1559,0,0
22-08-04_19-07-52,New_NPC (81),14,57,1564,0,0
22-08-04_19-07-52,New_NPC (81),14,57,1569,0,0
22-08-04_19-07-53,New_NPC (81),101,69,1574,0,0
22-08-04_19-07-53,New_NPC (81),101,69,1579,0,0
22-08-04_19-07-53,New_NPC (81),101,69,1584,0,0
22-08-04_19-07-54,New_NPC (81),101,69,1590,0,0
22-08-04_19-07-54,New_NPC (81),101,47,1603,0,0
22-08-04_19-07-54,New_NPC (81),103,7,1608,0,0
22-08-04_19-07-55,New_NPC (81),103,7,1613,0,0
22-08-04_19-07-55,New_NPC (81),103,7,1618,0,0
22-08-04_19-07-55,New_NPC (81),102,7,1623,0,0
22-08-04_19-07-56,New_NPC (81),102,7,1628,0,0
22-08-04_19-07-56,New_NPC (81),102,7,1633,0,0
22-08-04_19-07-56,New_NPC (81),103,7,1638,1,0
22-08-04_19-07-57,New_NPC (81),103,7,1643,1,0
22-08-04_19-07-57,New_NPC (81),103,7,1648,1,0
22-08-04_19-07-57,New_NPC (81),103,7,1653,1,0
22-08-04_19-07-58,New_NPC (81),103,7,1658,1,0
22-08-04_19-07-58,New_NPC (81),103,7,1663,1,0
22-08-04_19-08-00,New_NPC (81),34,28,1765,1,0
22-08-04_19-08-00,New_NPC (81),30,43,1777,1,0
22-08-04_19-08-01,New_NPC (81),33,40,1782,1,0
22-08-04_19-08-01,New_NPC (81),34,36,1787,1,0
22-08-04_19-08-12,NPC-4605,32,41,2728,1,0
22-08-04_19-08-13,NPC-4605,2,23,2733,1,0
22-08-04_19-08-13,NPC-4605,2,23,2738,1,0
22-08-04_19-08-13,NPC-4605,2,23,2743,1,0
22-08-04_19-08-14,NPC-4605,2,23,2748,1,0
22-08-04_19-08-14,NPC-4605,28,46,2792,1,0
22-08-04_19-08-15,NPC-4605,2,23,2797,1,0
22-08-04_19-08-25,Sitting_NPC (424),176,21,3471,2,0
22-08-04_19-08-25,Sitting_NPC (4165),89,23,3477,2,0
22-08-04_19-08-26,Sitting_NPC (4165),89,23,3482,2,0
22-08-04_19-08-26,Sitting_NPC (4165),92,24,3487,2,0
22-08-04_19-08-33,New_NPC (45),69,54,3937,2,0
22-08-04_19-08-34,New_NPC (45),69,54,3942,2,0
22-08-04_19-08-34,New_NPC (45),69,53,3947,2,0
22-08-04_19-08-34,New_NPC (45),63,53,3952,2,0
22-08-04_19-08-35,New_NPC (45),69,54,3957,2,0
22-08-04_19-08-35,New_NPC (45),69,53,3962,2,0
22-08-04_19-08-40,New_NPC (37),87,9,4255,2,0
