dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-08-04_19-59-24,New_NPC (81),173,20,532,0,0
22-08-04_19-59-24,New_NPC (81),58,30,537,0,0
22-08-04_19-59-25,New_NPC (81),58,30,542,0,0
22-08-04_19-59-25,New_NPC (81),57,30,547,0,0
22-08-04_19-59-25,New_NPC (81),58,31,552,0,0
22-08-04_19-59-26,New_NPC (81),58,31,557,0,0
22-08-04_19-59-26,New_NPC (81),57,31,562,0,0
22-08-04_19-59-26,New_NPC (81),57,30,567,0,0
22-08-04_19-59-27,New_NPC (81),57,30,572,0,0
22-08-04_19-59-27,New_NPC (81),57,30,577,0,0
22-08-04_19-59-27,New_NPC (81),57,30,582,0,0
22-08-04_19-59-27,New_NPC (81),58,30,587,0,0
22-08-04_19-59-28,New_NPC (81),58,30,592,0,0
22-08-04_19-59-28,New_NPC (81),58,30,597,0,0
22-08-04_19-59-28,New_NPC (81),59,30,602,0,0
22-08-04_19-59-29,New_NPC (81),59,30,607,0,0
22-08-04_19-59-36,Sitting_NPC (4051),73,16,1236,0,0
22-08-04_19-59-36,Sitting_NPC (4051),61,20,1241,0,0
22-08-04_19-59-37,Sitting_NPC (4051),61,20,1246,0,0
22-08-04_19-59-37,Sitting_NPC (4051),41,20,1251,0,0
22-08-04_19-59-37,Sitting_NPC (4051),41,20,1256,0,0
22-08-04_19-59-38,Sitting_NPC (4051),41,20,1261,0,0
22-08-04_19-59-38,Sitting_NPC (4051),41,20,1266,0,0
22-08-04_19-59-38,Sitting_NPC (4051),41,20,1271,0,0
22-08-04_19-59-38,Sitting_NPC (4051),40,20,1276,0,0
22-08-04_19-59-39,Sitting_NPC (4051),131,33,1281,0,0
22-08-04_19-59-39,Sitting_NPC (4051),131,33,1286,0,0
22-08-04_19-59-39,Sitting_NPC (4051),131,33,1291,0,0
22-08-04_19-59-40,Sitting_NPC (4051),40,20,1296,0,0
22-08-04_19-59-40,Sitting_NPC (4051),40,20,1301,0,0
22-08-04_19-59-41,New_NPC (483),77,33,1409,0,0
22-08-04_19-59-42,New_NPC (483),82,13,1414,0,0
22-08-04_19-59-42,New_NPC (483),82,13,1419,0,0
22-08-04_19-59-42,New_NPC (483),82,13,1424,0,0
22-08-04_19-59-42,New_NPC (483),82,12,1429,0,0
22-08-04_19-59-43,New_NPC (483),82,12,1434,0,1
22-08-04_19-59-43,New_NPC (483),91,31,1439,0,0
22-08-04_19-59-43,New_NPC (483),82,12,1444,0,0
22-08-04_19-59-44,New_NPC (483),82,12,1449,0,0
22-08-04_19-59-51,Sitting_NPC (422),147,6,2010,1,1
22-08-04_19-59-51,Sitting_NPC (422),28,7,2015,1,0
22-08-04_19-59-51,Sitting_NPC (422),144,6,2020,1,0
22-08-04_19-59-52,Sitting_NPC (422),144,6,2025,1,0
22-08-04_19-59-52,Sitting_NPC (422),27,7,2030,1,0
22-08-04_19-59-52,Sitting_NPC (422),144,6,2035,1,0
22-08-04_19-59-53,Sitting_NPC (422),27,7,2040,1,0
22-08-04_19-59-53,Sitting_NPC (422),28,6,2045,1,0
22-08-04_19-59-53,Sitting_NPC (422),27,6,2050,1,0
22-08-04_19-59-53,Sitting_NPC (422),28,6,2055,1,0
22-08-04_19-59-54,Sitting_NPC (422),28,6,2060,1,0
22-08-04_19-59-54,NPC-625,27,6,2070,1,0
22-08-04_19-59-54,NPC-625,86,28,2075,1,0
22-08-04_19-59-55,NPC-625,46,24,2080,1,0
22-08-04_19-59-55,NPC-625,48,24,2085,1,0
22-08-04_19-59-56,New_NPC (73),116,30,2147,1,0
22-08-04_19-59-56,New_NPC (73),42,49,2152,1,0
22-08-04_19-59-56,New_NPC (73),41,48,2157,1,0
22-08-04_19-59-57,New_NPC (73),41,48,2162,1,0
22-08-04_19-59-57,New_NPC (73),41,48,2167,1,0
22-08-04_19-59-59,New_NPC (73),59,18,2376,1,0
22-08-04_20-00-00,New_NPC (73),41,44,2381,1,0
22-08-04_20-00-00,New_NPC (73),131,43,2386,1,0
22-08-04_20-00-00,New_NPC (73),132,43,2391,1,0
22-08-04_20-00-00,New_NPC (73),132,42,2396,1,0
22-08-04_20-00-01,New_NPC (73),132,43,2401,1,0
22-08-04_20-00-01,New_NPC (73),131,42,2406,1,0
22-08-04_20-00-01,New_NPC (73),132,43,2411,1,0
22-08-04_20-00-02,New_NPC (73),131,43,2416,1,0
22-08-04_20-00-02,New_NPC (73),132,42,2421,1,0
22-08-04_20-00-02,New_NPC (73),40,42,2426,1,0
22-08-04_20-00-02,New_NPC (73),41,43,2431,1,0
22-08-04_20-00-03,New_NPC (73),40,42,2436,1,0
22-08-04_20-00-03,New_NPC (73),40,42,2441,1,0
22-08-04_20-00-03,New_NPC (73),41,42,2446,1,0
22-08-04_20-00-04,New_NPC (73),41,42,2451,1,0
22-08-04_20-00-04,New_NPC (73),40,42,2456,1,0
22-08-04_20-00-05,New_NPC (73),61,16,2515,1,0
22-08-04_20-00-05,New_NPC (73),41,42,2520,1,0
22-08-04_20-00-05,New_NPC (73),132,41,2525,1,0
22-08-04_20-00-06,New_NPC (73),42,42,2530,1,0
22-08-04_20-00-07,New_NPC (95.1),33,16,2634,1,0
22-08-04_20-00-07,New_NPC (95.1),43,40,2639,1,0
22-08-04_20-00-08,New_NPC (95.1),42,40,2644,1,0
22-08-04_20-00-08,New_NPC (95.1),42,40,2649,1,0
22-08-04_20-00-08,New_NPC (95.1),43,40,2654,1,0
22-08-04_20-00-08,New_NPC (95.1),43,40,2659,1,0
22-08-04_20-00-09,New_NPC (95.1),42,40,2664,1,0
22-08-04_20-00-09,New_NPC (95.1),41,39,2669,1,0
22-08-04_20-00-10,NPC-627,94,19,2757,1,0
22-08-04_20-00-10,NPC-627,147,15,2762,1,0
22-08-04_20-00-11,NPC-627,147,15,2767,1,1
22-08-04_20-00-11,NPC-627,146,15,2772,1,0
22-08-04_20-00-11,NPC-627,57,21,2796,1,0
22-08-04_20-00-12,NPC-627,24,15,2811,1,1
22-08-04_20-00-12,NPC-627,64,20,2801,1,0
22-08-04_20-00-12,NPC-627,148,14,2806,1,0
22-08-04_20-00-12,NPC-627,24,15,2816,1,0
22-08-04_20-00-13,NPC-627,23,15,2821,1,0
22-08-04_20-00-13,NPC-627,24,15,2826,1,0
22-08-04_20-00-13,NPC-627,24,15,2831,1,0
22-08-04_20-00-13,NPC-627,24,15,2836,1,0
22-08-04_20-00-14,NPC-627,23,15,2841,1,0
22-08-04_20-00-14,NPC-627,23,15,2846,1,0
22-08-04_20-00-14,NPC-627,23,14,2851,1,0
22-08-04_20-00-15,NPC-627,23,14,2856,1,0
22-08-04_20-00-15,NPC-627,148,13,2861,1,0
22-08-04_20-00-15,NPC-627,147,13,2866,1,0
22-08-04_20-00-16,NPC-627,148,13,2871,1,0
22-08-04_20-00-16,NPC-627,147,13,2876,1,0
22-08-04_20-00-16,NPC-627,147,13,2881,1,0
22-08-04_20-00-17,NPC-627,147,13,2886,1,0
22-08-04_20-00-17,NPC-627,147,13,2891,1,0
22-08-04_20-00-17,NPC-627,147,13,2896,1,0
22-08-04_20-00-18,NPC-627,147,13,2901,1,0
22-08-04_20-00-18,NPC-627,148,13,2906,1,0
22-08-04_20-00-18,NPC-627,58,3,2911,1,0
22-08-04_20-00-23,NPC-627,48,15,3351,2,0
22-08-04_20-00-23,NPC-627,163,8,3356,2,0
22-08-04_20-00-30,NPC-627,25,13,3979,2,0
22-08-04_20-00-30,NPC-627,33,10,3984,2,0
22-08-04_20-00-30,NPC-627,154,9,3989,2,0
22-08-04_20-00-31,NPC-627,153,9,3994,2,1
22-08-04_20-00-31,NPC-627,153,9,3999,2,0
22-08-04_20-00-31,NPC-627,153,9,4004,2,0
22-08-04_20-00-32,NPC-627,153,8,4009,2,0
22-08-04_20-00-32,NPC-627,153,8,4014,2,0
22-08-04_20-00-32,NPC-627,33,9,4019,2,0
22-08-04_20-00-32,NPC-627,33,9,4024,2,0
22-08-04_20-00-33,NPC-627,34,9,4029,2,1
22-08-04_20-00-33,NPC-627,33,9,4034,2,0
22-08-04_20-00-35,NPC-625,153,5,4202,2,0
22-08-04_20-00-35,NPC-625,32,6,4207,2,0
22-08-04_20-00-36,NPC-625,32,6,4212,2,0
22-08-04_20-00-36,NPC-625,32,6,4217,2,0
22-08-04_20-01-21,NPC-4626,67,45,7696,4,0
22-08-04_20-01-21,NPC-4626,138,35,7701,4,0
22-08-04_20-01-22,NPC-4626,138,35,7706,4,0
22-08-04_20-01-28,NPC-4626,145,28,8105,4,0
22-08-04_20-01-29,NPC-4626,21,30,8110,4,0
22-08-04_20-01-29,NPC-4626,21,30,8115,4,0
22-08-04_20-01-29,NPC-4626,135,29,8120,5,0
22-08-04_20-01-30,NPC-4626,135,29,8125,5,0
22-08-04_20-01-30,NPC-4626,135,28,8130,5,0
22-08-04_20-01-30,NPC-4626,135,28,8135,5,0
22-08-04_20-01-30,NPC-4626,135,28,8140,5,0
22-08-04_20-01-31,NPC-4626,21,29,8145,5,0
22-08-04_20-01-31,NPC-4626,21,29,8150,5,0
22-08-04_20-01-31,NPC-4626,136,28,8155,5,0
