dateTime,hitName,rotation,distance,frame,%replayed
22-07-07_19-12-53,baum ld0(enhanced),180,21,1,0
22-07-07_19-12-54,baum ld0(enhanced),19,52,3,0
22-07-07_19-12-54,baum ld0(enhanced),19,52,15,0
22-07-07_19-12-55,baum ld0(enhanced),19,52,19,0
22-07-07_19-12-55,baum ld0(enhanced),20,52,25,0
22-07-07_19-13-01,B001,163,22,442,0
22-07-07_19-13-01,B001,49,38,447,0
22-07-07_19-13-02,B001,49,38,452,0
22-07-07_19-13-02,B001,49,38,457,0
22-07-07_19-13-02,B001,49,38,462,0
22-07-07_19-13-02,B001,49,38,467,0
22-07-07_19-13-03,B001,50,39,472,0
22-07-07_19-13-03,B001,50,38,477,0
22-07-07_19-13-03,B001,50,39,482,0
22-07-07_19-13-04,B001,51,39,487,0
22-07-07_19-13-04,B001,51,39,492,0
22-07-07_19-13-04,B001,51,39,497,0
22-07-07_19-13-05,B001,51,39,502,0
22-07-07_19-13-05,B001,51,39,507,0
22-07-07_19-13-05,B001,51,39,512,0
22-07-07_19-13-06,B001,51,39,517,0
22-07-07_19-13-07,face_81,69,53,577,0
22-07-07_19-13-07,face_81,54,33,582,0
22-07-07_19-13-07,B001,54,33,589,0
22-07-07_19-13-08,B001,53,41,594,0
22-07-07_19-13-08,B001,53,41,599,0
22-07-07_19-13-08,B001,53,41,604,0
22-07-07_19-13-08,B001,54,33,609,0
22-07-07_19-13-11,metalBench (3),111,32,749,0
22-07-07_19-13-11,metalBench (3),119,27,754,0
22-07-07_19-13-11,metalBench (3),120,27,759,0
22-07-07_19-13-11,metalBench (3),120,27,764,0
22-07-07_19-13-12,metalBench (3),120,27,769,0
22-07-07_19-13-12,metalBench (3),119,27,774,0
22-07-07_19-13-12,metalBench (3),119,27,779,0
22-07-07_19-13-13,metalBench (3),64,27,784,0
22-07-07_19-13-14,baum ld1(enhanced),75,5,873,0
22-07-07_19-13-14,baum ld1(enhanced),30,31,878,0
22-07-07_19-13-15,baum ld1(enhanced),30,31,883,0
22-07-07_19-13-15,baum ld1(enhanced),30,31,888,0
22-07-07_19-13-15,baum ld1(enhanced),30,31,893,0
22-07-07_19-13-15,baum ld1(enhanced),29,31,898,0
22-07-07_19-13-16,metalBench (3),29,31,908,0
22-07-07_19-13-16,metalBench (3),119,27,913,0
22-07-07_19-13-16,metalBench (3),120,27,918,0
22-07-07_19-13-17,metalBench (3),120,27,923,0
22-07-07_19-13-17,metalBench (3),120,27,928,0
22-07-07_19-13-17,metalBench (3),120,27,933,0
22-07-07_19-13-17,metalBench (3),119,27,938,0
22-07-07_19-13-18,metalBench (3),119,27,943,0
22-07-07_19-13-19,metalBench (5),2,23,1017,0
22-07-07_19-13-19,metalBench (5),133,20,1022,0
22-07-07_19-13-19,metalBench (5),133,20,1027,0
22-07-07_19-13-20,metalBench (5),133,20,1032,0
22-07-07_19-13-20,metalBench (5),133,20,1037,0
22-07-07_19-13-20,metalBench (5),134,20,1042,0
22-07-07_19-13-20,metalBench (5),133,20,1047,0
22-07-07_19-13-21,metalBench (5),133,20,1052,0
22-07-07_19-13-21,metalBench (5),133,20,1057,0
22-07-07_19-13-21,metalBench (5),133,20,1062,0
22-07-07_19-13-21,metalBench (5),133,20,1067,0
22-07-07_19-13-22,face_81,73,5,1104,0
22-07-07_19-13-22,face_81,73,5,1109,0
22-07-07_19-13-23,face_81,73,5,1114,0
22-07-07_19-13-23,face_81,73,5,1119,0
22-07-07_19-13-23,face_81,82,5,1124,0
22-07-07_19-13-23,face_81,82,5,1129,0
22-07-07_19-13-24,face_81,82,5,1134,0
22-07-07_19-13-25,face_81,82,5,1181,0
22-07-07_19-13-25,face_81,82,5,1186,0
22-07-07_19-13-25,face_81,82,5,1191,0
22-07-07_19-13-25,face_81,82,5,1196,0
22-07-07_19-13-26,face_81,82,5,1201,0
22-07-07_19-13-26,face_81,99,5,1206,0
22-07-07_19-13-26,face_81,99,5,1211,0
22-07-07_19-13-27,face_81,99,5,1216,0
22-07-07_19-13-27,face_81,99,5,1221,0
22-07-07_19-13-27,face_81,99,5,1226,0
22-07-07_19-13-27,face_81,99,5,1231,0
22-07-07_19-13-28,face_81,99,5,1236,0
22-07-07_19-13-28,face_81,99,5,1241,0
22-07-07_19-13-28,face_81,99,5,1246,0
22-07-07_19-13-28,face_81,99,5,1251,0
22-07-07_19-13-29,baum ld1(enhanced),100,8,1310,0
22-07-07_19-13-30,baum ld1(enhanced),144,15,1315,0
22-07-07_19-13-30,baum ld1(enhanced),144,15,1320,0
22-07-07_19-13-30,baum ld1(enhanced),144,15,1325,0
22-07-07_19-13-30,baum ld1(enhanced),144,15,1330,0
22-07-07_19-13-31,baum ld1(enhanced),143,15,1335,0
22-07-07_19-13-31,face_81,99,46,1389,0
22-07-07_19-13-32,face_81,172,97,1394,0
22-07-07_19-13-32,face_81,172,97,1399,0
22-07-07_19-13-32,face_81,172,97,1404,0
22-07-07_19-13-32,face_81,172,97,1409,0
22-07-07_19-13-33,face_81,172,97,1414,0
22-07-07_19-13-33,face_81,172,97,1419,0
22-07-07_19-13-33,face_81,172,97,1424,0
22-07-07_19-13-34,face_81,172,97,1429,0
22-07-07_19-13-34,face_81,172,97,1436,0
22-07-07_19-13-34,face_81,172,97,1441,0
22-07-07_19-13-34,face_81,99,71,1446,0
22-07-07_19-13-35,face_81,100,70,1451,0
22-07-07_19-13-35,face_81,100,71,1456,0
22-07-07_19-13-35,face_81,100,70,1461,0
22-07-07_19-13-38,face_81,101,9,1674,1
22-07-07_19-13-39,face_81,102,14,1679,1
22-07-07_19-13-39,face_81,102,14,1684,1
22-07-07_19-13-39,streetLight2 (39),102,14,1697,1
22-07-07_19-13-40,streetLight2 (39),102,14,1702,1
22-07-07_19-13-40,face_81,103,14,1742,1
22-07-07_19-13-41,face_81,116,31,1747,1
22-07-07_19-13-41,face_81,117,31,1754,1
22-07-07_19-13-41,face_81,34,28,1759,1
22-07-07_19-13-42,baum ld1(enhanced),2,23,1847,1
22-07-07_19-13-43,baum ld1(enhanced),141,15,1852,1
22-07-07_19-13-43,baum ld1(enhanced),141,15,1857,1
22-07-07_19-13-43,baum ld1(enhanced),141,15,1862,1
22-07-07_19-13-43,baum ld1(enhanced),141,15,1868,1
22-07-07_19-13-44,store2,141,15,1879,1
22-07-07_19-13-44,store2,66,21,1884,1
22-07-07_19-13-45,store2,66,21,1889,1
22-07-07_19-13-45,store2,66,21,1894,1
22-07-07_19-13-45,store2,66,21,1899,1
22-07-07_19-13-46,store2,66,21,1904,1
22-07-07_19-13-46,store2,66,21,1909,1
22-07-07_19-13-46,store2,70,20,1938,1
22-07-07_19-13-47,store2,68,20,1943,1
22-07-07_19-13-47,store2,69,20,1956,1
22-07-07_19-13-47,store2,82,19,1961,1
22-07-07_19-13-47,store2,82,19,1966,1
22-07-07_19-13-48,store2,82,19,1971,1
22-07-07_19-13-48,store2,83,19,1983,1
22-07-07_19-13-48,store2,63,21,1988,1
22-07-07_19-13-48,store2,62,21,1993,1
22-07-07_19-13-49,store2,62,21,1998,1
22-07-07_19-13-49,store2,62,21,2014,1
22-07-07_19-13-49,store2,37,33,2019,1
22-07-07_19-13-50,store2,37,33,2024,1
22-07-07_19-13-50,store2,37,33,2029,1
22-07-07_19-13-50,store2,37,33,2035,1
