dateTime,hitName,rotation,distance,frame,%replayed
22-07-11_20-43-35,B011 (2),15,21,155410,95
22-07-11_20-43-36,B011 (2),79,13,155499,95
22-07-11_20-43-37,B011 (2),23,22,155504,95
22-07-11_20-43-37,B011 (2),23,22,155510,95
22-07-11_20-43-37,B011 (2),23,22,155515,95
22-07-11_20-43-38,B011 (2),23,22,155520,95
22-07-11_20-43-38,B011 (2),23,22,155525,95
22-07-11_20-43-39,B011 (2),23,22,155537,95
22-07-11_20-43-39,B011 (2),21,21,155542,95
22-07-11_20-43-39,B011 (2),21,21,155547,95
22-07-11_20-43-40,B011 (2),21,21,155552,95
22-07-11_20-43-40,B011 (2),21,21,155557,95
22-07-11_20-43-40,B011 (2),21,21,155562,95
22-07-11_20-43-41,B011 (2),21,21,155567,95
22-07-11_20-43-41,B011 (2),21,21,155583,95
22-07-11_20-43-42,B011 (2),23,22,155589,95
22-07-11_20-43-42,B011 (2),23,22,155594,95
22-07-11_20-43-42,B011 (2),23,22,155600,95
22-07-11_20-43-43,B011 (2),23,22,155605,95
22-07-11_20-43-43,B011 (2),23,22,155610,95
22-07-11_20-43-43,B011 (2),23,22,155617,95
22-07-11_20-43-44,B011 (2),23,22,155622,95
22-07-11_20-43-44,B011 (2),23,22,155627,95
22-07-11_20-43-44,B011 (2),23,22,155634,95
22-07-11_20-43-45,B011 (2),22,22,155639,95
22-07-11_20-43-45,B011 (2),22,22,155644,95
22-07-11_20-43-45,B011 (2),22,22,155649,95
22-07-11_20-43-46,B011 (2),23,22,155654,95
22-07-11_20-43-46,B011 (2),23,22,155659,95
22-07-11_20-43-46,B011 (2),23,22,155664,95
22-07-11_20-43-47,B011 (2),23,22,155669,95
22-07-11_20-43-47,B011 (2),23,22,155681,95
22-07-11_20-43-48,B011 (2),23,22,155686,95
22-07-11_20-43-48,B011 (2),23,22,155691,95
22-07-11_20-43-48,B011 (2),23,22,155696,95
22-07-11_20-43-49,B011 (2),23,22,155701,95
22-07-11_20-43-49,B011 (2),23,22,155706,95
22-07-11_20-43-49,B011 (2),23,22,155711,95
22-07-11_20-43-50,B011 (2),23,22,155716,95
22-07-11_20-43-50,B011 (2),23,22,155721,95
22-07-11_20-43-50,B011 (2),23,22,155726,95
22-07-11_20-43-52,B014 (2),77,11,155868,95
22-07-11_20-43-53,B014 (2),14,20,155878,95
22-07-11_20-43-53,B014 (2),15,20,155902,95
22-07-11_20-43-54,B014 (2),12,20,155907,95
22-07-11_20-43-54,B014 (2),13,20,155926,95
22-07-11_20-43-54,B014 (2),22,21,155931,95
22-07-11_20-43-55,B014 (2),22,21,155936,95
22-07-11_20-43-55,B014 (2),24,22,155941,95
22-07-11_20-43-55,B014 (2),23,22,155946,95
22-07-11_20-43-56,B014 (2),24,22,155960,95
22-07-11_20-43-56,B014 (2),10,20,155965,95
22-07-11_20-43-56,B014 (2),10,20,155970,95
22-07-11_20-43-57,B014 (2),10,20,155975,95
22-07-11_20-43-57,B014 (2),13,20,155980,95
22-07-11_20-43-57,B014 (2),13,20,155985,95
22-07-11_20-43-58,B014 (2),13,20,155990,95
22-07-11_20-43-58,B014 (2),13,20,155995,95
22-07-11_20-43-58,B014 (2),12,20,156000,95
22-07-11_20-43-59,B014 (2),13,20,156005,95
22-07-11_20-43-59,B014 (2),13,20,156010,95
22-07-11_20-43-59,B014 (2),13,20,156015,95
22-07-11_20-44-00,B014 (2),14,20,156020,95
22-07-11_20-44-01,B014 (2),61,55,156075,96
22-07-11_20-44-01,B014 (2),24,22,156080,96
22-07-11_20-44-01,B014 (2),24,22,156085,96
22-07-11_20-44-02,B014 (2),24,22,156090,96
22-07-11_20-44-02,B014 (2),23,21,156118,96
22-07-11_20-44-03,B014 (2),18,22,156123,96
22-07-11_20-44-04,B014 (2),73,12,156214,96
22-07-11_20-44-04,infoKiosk02,60,57,156243,96
22-07-11_20-44-05,infoKiosk02,61,54,156248,96
22-07-11_20-44-05,infoKiosk02,61,54,156253,96
22-07-11_20-44-05,infoKiosk02,118,60,156258,96
22-07-11_20-44-08,streetLight2 (29),43,18,156466,96
22-07-11_20-44-08,streetLight2 (29),57,53,156471,96
22-07-11_20-44-08,streetLight2 (29),56,37,156476,96
22-07-11_20-44-09,streetLight2 (29),56,37,156481,96
22-07-11_20-44-09,streetLight2 (29),56,37,156486,96
22-07-11_20-44-13,B014 (2),132,26,156842,96
22-07-11_20-44-13,B014 (2),28,22,156847,96
22-07-11_20-44-14,B014 (2),27,22,156852,96
22-07-11_20-44-14,B014 (2),26,22,156857,96
22-07-11_20-44-14,B014 (2),26,22,156862,96
22-07-11_20-44-15,B014 (2),26,22,156867,96
22-07-11_20-44-15,B014 (2),25,22,156872,96
22-07-11_20-44-15,B014 (2),26,22,156877,96
22-07-11_20-44-16,B014 (2),25,22,156882,96
22-07-11_20-44-16,B014 (2),26,22,156887,96
22-07-11_20-44-16,B014 (2),26,22,156894,96
22-07-11_20-44-18,B011 (2),81,14,157000,96
22-07-11_20-44-18,B011 (2),10,20,157005,96
22-07-11_20-44-19,B011 (2),10,20,157010,96
22-07-11_20-44-19,B011 (2),10,20,157015,96
22-07-11_20-44-19,B011 (2),9,20,157020,96
22-07-11_20-44-20,B011 (2),8,20,157025,96
22-07-11_20-44-20,B011 (2),9,20,157039,96
22-07-11_20-44-20,B011 (2),21,22,157044,96
22-07-11_20-44-21,B011 (2),21,22,157049,96
22-07-11_20-44-21,B011 (2),22,22,157054,96
22-07-11_20-44-21,B011 (2),21,22,157059,96
22-07-11_20-44-22,B011 (2),21,22,157066,96
22-07-11_20-44-22,B011 (2),22,22,157071,96
22-07-11_20-44-22,B011 (2),22,22,157076,96
22-07-11_20-44-23,B011 (2),22,22,157081,96
22-07-11_20-44-23,B011 (2),22,22,157086,96
22-07-11_20-44-23,B011 (2),23,22,157091,96
22-07-11_20-44-24,B011 (2),23,22,157096,96
22-07-11_20-44-24,B011 (2),22,22,157101,96
22-07-11_20-44-24,B011 (2),22,22,157106,96
22-07-11_20-44-25,B011 (2),23,22,157111,96
22-07-11_20-44-25,B011 (2),23,22,157116,96
22-07-11_20-44-26,B011 (2),23,22,157121,96
22-07-11_20-44-26,B011 (2),23,22,157126,96
22-07-11_20-44-26,B011 (2),23,22,157131,96
22-07-11_20-44-27,B011 (2),23,22,157136,96
22-07-11_20-44-27,B011 (2),23,22,157141,96
22-07-11_20-44-27,B011 (2),24,22,157146,96
22-07-11_20-44-28,B011 (2),24,22,157151,96
22-07-11_20-44-28,B011 (2),24,22,157156,96
22-07-11_20-44-28,B011 (2),24,22,157161,96
22-07-11_20-44-29,B011 (2),24,22,157166,96
22-07-11_20-44-29,B011 (2),23,22,157171,96
22-07-11_20-44-29,B011 (2),23,22,157176,96
22-07-11_20-44-30,B011 (2),24,22,157181,96
22-07-11_20-44-30,B011 (2),24,22,157186,96
22-07-11_20-44-31,B22 1 (3),43,12,157219,96
22-07-11_20-44-31,B22 1 (3),47,30,157223,96
22-07-11_20-44-32,B22 1 (3),47,30,157246,96
22-07-11_20-44-32,B22 1 (3),49,31,157251,96
22-07-11_20-44-32,B22 1 (3),49,32,157256,96
22-07-11_20-44-33,face_604,49,32,157268,96
22-07-11_20-44-33,face_604,64,46,157273,96
22-07-11_20-44-33,face_604,64,45,157279,96
22-07-11_20-44-34,face_604,64,45,157284,96
22-07-11_20-44-34,face_604,64,46,157289,96
22-07-11_20-44-35,face_604,64,45,157294,96
22-07-11_20-44-35,face_604,64,46,157299,96
22-07-11_20-44-35,face_604,64,46,157304,96
22-07-11_20-44-36,B22 1 (3),64,45,157314,96
22-07-11_20-44-36,B22 1 (3),52,33,157319,96
22-07-11_20-44-36,B22 1 (3),52,33,157324,96
22-07-11_20-44-37,B22 1 (3),52,33,157329,96
22-07-11_20-44-37,B017 (3),52,32,157335,96
22-07-11_20-44-37,B017 (3),63,43,157340,96
22-07-11_20-44-38,B017 (3),63,43,157345,96
22-07-11_20-44-38,B017 (3),63,43,157350,96
22-07-11_20-44-38,B017 (3),63,43,157355,96
22-07-11_20-44-39,B001,63,43,157362,96
22-07-11_20-44-39,B001,65,45,157367,96
22-07-11_20-44-39,B001,65,45,157372,96
22-07-11_20-44-40,B001,66,45,157377,96
22-07-11_20-44-40,B001,66,45,157382,96
22-07-11_20-44-40,B001,66,45,157387,96
22-07-11_20-44-41,B001,66,44,157392,96
22-07-11_20-44-41,B001,66,44,157397,96
22-07-11_20-44-41,B001,66,44,157402,96
22-07-11_20-44-42,B001,66,44,157407,96
22-07-11_20-44-42,B001,66,44,157412,96
22-07-11_20-44-42,B001,66,44,157417,96
22-07-11_20-44-43,Chairs (7),66,43,157446,96
