dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-07-07_23-44-34,Bench (1),56,24,347,0,0
22-07-07_23-44-35,Bench (1),63,7,352,0,0
22-07-07_23-44-35,Bench (1),63,6,357,0,0
22-07-07_23-44-35,Bench (1),63,6,362,0,0
22-07-07_23-44-38,B014 (2),46,20,552,0,0
22-07-07_23-44-39,B014 (2),39,29,557,0,0
22-07-07_23-44-39,B014 (2),39,29,562,0,0
22-07-07_23-44-39,B014 (2),39,28,569,0,0
22-07-07_23-44-40,B014 (2),40,29,574,0,0
22-07-07_23-44-40,B014 (2),40,29,579,0,0
22-07-07_23-44-40,B014 (2),40,29,584,0,0
22-07-07_23-44-43,B014 (2),53,21,759,0,0
22-07-07_23-44-43,B014 (2),39,24,764,0,0
22-07-07_23-44-44,B014 (2),39,24,769,0,0
22-07-07_23-44-44,B014 (2),39,24,774,0,0
22-07-07_23-44-44,B014 (2),38,23,779,0,0
22-07-07_23-44-45,B014 (2),38,23,784,0,0
22-07-07_23-44-45,B014 (2),38,23,789,0,0
22-07-07_23-44-45,B014 (2),38,23,794,0,0
22-07-07_23-44-45,B014 (2),38,23,799,0,0
22-07-07_23-44-46,B014 (2),38,23,804,0,0
22-07-07_23-44-46,B014 (2),38,22,809,0,0
22-07-07_23-44-46,B014 (2),38,22,814,0,0
22-07-07_23-44-47,B014 (2),39,23,819,0,0
22-07-07_23-44-47,B014 (2),40,23,824,0,0
22-07-07_23-44-47,B014 (2),40,23,829,0,0
22-07-07_23-44-49,B014 (2),45,25,901,0,0
22-07-07_23-44-49,B014 (2),37,21,906,0,0
22-07-07_23-44-49,B014 (2),37,20,911,0,0
22-07-07_23-44-49,B014 (2),37,20,916,0,0
22-07-07_23-44-50,B014 (2),37,20,926,0,0
22-07-07_23-44-50,B014 (2),22,17,931,0,0
22-07-07_23-44-50,B014 (2),22,17,936,0,0
22-07-07_23-44-52,B014 (2),45,43,1019,0,0
22-07-07_23-44-52,B014 (2),37,18,1038,0,0
22-07-07_23-44-53,B014 (2),36,17,1043,0,0
22-07-07_23-44-53,B014 (2),36,17,1050,0,0
22-07-07_23-44-53,B014 (2),37,17,1056,0,0
22-07-07_23-44-54,B014 (2),38,17,1061,0,0
22-07-07_23-44-54,B014 (2),38,17,1066,0,0
22-07-07_23-44-54,B014 (2),39,17,1072,0,0
22-07-07_23-45-03,B014 (2),34,9,1644,1,0
22-07-07_23-45-03,B014 (2),32,9,1649,1,0
22-07-07_23-45-05,infoKiosk02,148,25,1793,1,0
22-07-07_23-45-05,infoKiosk02,60,38,1798,1,0
22-07-07_23-45-06,face_204,60,38,1808,1,0
22-07-07_23-45-06,face_204,61,38,1813,1,0
22-07-07_23-45-06,face_204,61,43,1818,1,0
22-07-07_23-45-07,face_204,61,43,1823,1,0
22-07-07_23-45-07,face_204,61,43,1828,1,0
22-07-07_23-45-07,face_204,61,38,1833,1,0
22-07-07_23-45-08,face_204,62,43,1838,1,0
22-07-07_23-45-08,face_204,61,43,1843,1,0
22-07-07_23-45-08,face_204,62,43,1848,1,0
22-07-07_23-45-08,face_204,61,43,1853,1,0
22-07-07_23-45-09,face_204,61,43,1858,1,0
22-07-07_23-45-09,face_204,61,43,1863,1,0
22-07-07_23-45-09,face_204,62,43,1868,1,0
22-07-07_23-45-10,face_204,62,43,1873,1,0
22-07-07_23-45-13,streetLight2 (29),67,13,2099,1,0
22-07-07_23-45-13,streetLight2 (29),55,16,2104,1,0
22-07-07_23-45-13,streetLight2 (29),55,16,2109,1,0
22-07-07_23-45-14,streetLight2 (29),56,16,2114,1,0
22-07-07_23-45-14,streetLight2 (29),145,17,2119,1,0
22-07-07_23-45-14,streetLight2 (29),56,16,2124,1,0
22-07-07_23-45-14,streetLight2 (29),56,16,2129,1,0
22-07-07_23-45-24,infoKiosk02,165,6,2801,1,0
22-07-07_23-45-24,infoKiosk02,61,22,2806,1,0
22-07-07_23-45-24,infoKiosk02,61,22,2811,1,0
22-07-07_23-45-25,infoKiosk02,61,22,2816,1,0
22-07-07_23-45-25,infoKiosk02,61,22,2823,1,0
22-07-07_23-45-25,infoKiosk02,60,23,2828,1,0
22-07-07_23-45-25,infoKiosk02,60,23,2833,1,0
22-07-07_23-45-28,infoKiosk02,62,26,3007,1,0
22-07-07_23-45-28,infoKiosk02,62,21,3012,1,0
22-07-07_23-45-29,infoKiosk02,62,21,3017,1,1
22-07-07_23-45-29,infoKiosk02,61,21,3022,1,0
22-07-07_23-45-29,infoKiosk02,62,21,3027,1,0
22-07-07_23-45-29,infoKiosk02,62,21,3032,1,0
22-07-07_23-45-30,infoKiosk02,62,21,3037,1,0
22-07-07_23-45-30,infoKiosk02,62,21,3042,1,0
22-07-07_23-45-31,infoKiosk02,55,22,3121,1,0
22-07-07_23-45-32,infoKiosk02,60,22,3126,1,0
22-07-07_23-45-32,infoKiosk02,60,22,3131,1,0
22-07-07_23-45-32,infoKiosk02,60,22,3136,1,0
22-07-07_23-45-32,infoKiosk02,60,22,3141,1,0
22-07-07_23-45-33,infoKiosk02,60,22,3146,1,0
22-07-07_23-45-33,infoKiosk02,60,22,3151,1,0
22-07-07_23-45-33,infoKiosk02,61,22,3156,1,0
22-07-07_23-45-36,streetLight2 (29),43,17,3306,2,0
