dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-08-04_21-32-00,New_NPC (34),104,32,116,0,0
22-08-04_21-32-00,New_NPC (34),105,32,121,0,0
22-08-04_21-32-01,Sitting_NPC (410),105,33,171,0,0
22-08-04_21-32-01,Sitting_NPC (410),174,9,176,0,0
22-08-04_21-32-02,Sitting_NPC (410),60,19,238,0,0
22-08-04_21-32-03,Sitting_NPC (410),175,7,243,0,0
22-08-04_21-32-03,Sitting_NPC (410),175,7,248,0,0
22-08-04_21-32-03,Sitting_NPC (410),175,7,253,0,0
22-08-04_21-32-03,Sitting_NPC (410),175,7,258,0,0
22-08-04_21-32-04,Sitting_NPC (410),175,7,263,0,1
22-08-04_21-32-05,Sitting_NPC (410),63,6,373,0,0
22-08-04_21-32-06,Sitting_NPC (410),177,5,378,0,0
22-08-04_21-32-06,Sitting_NPC (410),177,5,383,0,0
22-08-04_21-32-17,New_NPC (61),55,9,1436,0,0
22-08-04_21-32-18,New_NPC (61),123,28,1441,0,0
22-08-04_21-32-18,New_NPC (61),124,29,1451,0,0
22-08-04_21-32-18,New_NPC (61),33,30,1456,0,0
22-08-04_21-32-19,New_NPC (61),33,30,1461,0,0
22-08-04_21-32-19,New_NPC (61),33,30,1466,0,0
22-08-04_21-32-19,New_NPC (61),34,30,1471,0,0
22-08-04_21-32-19,New_NPC (61),34,30,1476,0,0
22-08-04_21-32-20,New_NPC (61),34,31,1481,0,0
22-08-04_21-32-20,New_NPC (61),34,31,1486,0,0
22-08-04_21-32-20,New_NPC (61),34,31,1491,0,0
22-08-04_21-32-21,New_NPC (61),35,31,1496,0,0
22-08-04_21-32-21,New_NPC (61),35,31,1501,0,0
22-08-04_21-32-21,New_NPC (61),37,31,1506,0,0
22-08-04_21-32-22,New_NPC (61),37,31,1511,0,0
22-08-04_21-32-22,New_NPC (61),36,31,1516,0,0
22-08-04_21-32-22,New_NPC (61),36,31,1521,0,0
22-08-04_21-32-22,New_NPC (61),37,31,1526,0,0
22-08-04_21-32-23,New_NPC (61),37,31,1531,0,0
22-08-04_21-32-23,New_NPC (61),38,32,1536,0,0
22-08-04_21-32-27,New_NPC (204),142,12,1884,1,0
22-08-04_21-32-27,New_NPC (204),61,11,1889,1,0
22-08-04_21-32-27,New_NPC (204),61,11,1894,1,0
22-08-04_21-32-27,New_NPC (204),61,10,1899,1,0
22-08-04_21-32-28,New_NPC (204),61,10,1904,1,0
22-08-04_21-32-28,New_NPC (204),61,10,1914,1,0
22-08-04_21-32-28,New_NPC (204),61,38,1919,1,0
22-08-04_21-32-29,New_NPC (204),61,38,1924,1,0
22-08-04_21-32-29,New_NPC (204),61,38,1929,1,0
22-08-04_21-32-29,New_NPC (204),61,37,1934,1,0
22-08-04_21-32-29,New_NPC (204),61,37,1943,1,0
22-08-04_21-32-30,New_NPC (204),61,37,1948,1,0
22-08-04_21-32-30,New_NPC (204),61,37,1953,1,0
22-08-04_21-32-30,New_NPC (204),61,37,1958,1,0
