dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-07-11_23-55-51,B017 (3),56,30,612,0,0
22-07-11_23-55-51,B017 (3),47,34,617,0,0
22-07-11_23-55-51,B017 (3),47,34,622,0,0
22-07-11_23-55-52,B017 (3),47,34,627,0,0
22-07-11_23-55-52,B017 (3),47,34,632,0,0
22-07-11_23-55-52,B017 (3),46,34,637,0,0
22-07-11_23-55-53,B026 (4),46,33,648,0,0
22-07-11_23-55-53,B026 (4),16,24,653,0,0
22-07-11_23-55-53,B026 (4),16,24,658,0,0
22-07-11_23-55-54,B026 (4),17,24,663,0,0
22-07-11_23-55-54,B026 (4),17,24,668,0,0
22-07-11_23-55-54,B026 (4),17,24,673,0,0
22-07-11_23-55-54,B026 (4),76,11,678,0,0
22-07-11_23-55-55,B026 (4),14,14,683,0,0
22-07-11_23-55-55,B026 (4),80,11,688,0,0
22-07-11_23-55-55,B026 (4),82,11,693,0,0
22-07-11_23-55-57,B017 (3),76,18,767,0,1
22-07-11_23-55-57,B017 (3),42,32,772,0,0
22-07-11_23-55-57,B017 (3),42,32,777,0,0
22-07-11_23-55-57,B017 (3),42,32,782,0,0
22-07-11_23-55-58,B017 (3),42,32,787,0,0
22-07-11_23-55-58,B017 (3),42,32,792,0,0
22-07-11_23-55-58,B017 (3),42,32,797,0,0
22-07-11_23-55-59,B011 (2),15,24,837,0,1
22-07-11_23-55-59,B011 (2),43,32,832,0,0
22-07-11_23-56-00,B011 (2),15,24,842,0,0
22-07-11_23-56-00,B011 (2),14,24,850,0,0
22-07-11_23-56-00,B011 (2),30,26,855,0,0
22-07-11_23-56-01,B011 (2),30,26,860,0,0
22-07-11_23-56-01,B011 (2),30,26,865,0,0
22-07-11_23-56-01,B011 (2),30,26,870,0,0
22-07-11_23-56-02,B011 (2),25,25,875,0,0
22-07-11_23-56-02,B011 (2),26,25,880,0,0
22-07-11_23-56-02,builds (3),26,25,890,0,0
22-07-11_23-56-03,builds (3),122,73,895,0,0
22-07-11_23-56-03,builds (3),121,72,900,0,0
22-07-11_23-56-03,builds (3),123,73,905,0,0
22-07-11_23-56-03,builds (3),123,73,910,0,0
22-07-11_23-56-04,builds (1),123,73,921,0,0
22-07-11_23-56-04,builds (1),30,52,926,0,0
22-07-11_23-56-04,builds (1),31,52,931,0,0
22-07-11_23-56-05,builds (1),32,53,936,0,0
22-07-11_23-56-05,builds (1),32,53,941,0,0
22-07-11_23-56-05,builds (1),32,53,948,0,0
22-07-11_23-56-06,builds (1),65,31,953,0,0
22-07-11_23-56-06,builds (1),26,49,958,0,0
22-07-11_23-56-06,builds (1),26,48,963,0,0
22-07-11_23-56-06,builds (1),25,48,971,0,0
22-07-11_23-56-07,builds (1),12,43,976,0,0
22-07-11_23-56-07,builds (1),12,43,986,0,0
22-07-11_23-56-07,builds (1),11,45,991,0,0
22-07-11_23-56-08,builds (1),10,45,996,0,0
22-07-11_23-56-08,builds (1),10,45,1001,0,0
22-07-11_23-56-14,B014 (2),41,51,1543,0,0
22-07-11_23-56-14,B014 (2),35,28,1548,0,0
22-07-11_23-56-15,B014 (2),35,28,1553,0,0
22-07-11_23-56-15,B011 (2),34,27,1565,0,0
22-07-11_23-56-15,B011 (2),8,23,1570,0,0
22-07-11_23-56-16,B011 (2),8,23,1575,0,0
22-07-11_23-56-16,B011 (2),8,23,1580,0,0
22-07-11_23-56-16,face_420,8,22,1585,0,0
22-07-11_23-56-16,face_420,98,14,1590,0,0
22-07-11_23-56-17,face_420,8,22,1595,0,0
22-07-11_23-56-17,face_420,98,13,1599,0,0
22-07-11_23-56-18,B026 (4),98,13,1605,0,0
22-07-11_23-56-18,B026 (4),27,24,1610,0,0
22-07-11_23-56-19,B001,27,24,1623,0,0
22-07-11_23-56-19,B001,56,38,1628,1,0
22-07-11_23-56-19,B001,142,6,1633,1,0
22-07-11_23-56-20,B013,57,38,1640,1,0
22-07-11_23-56-20,B013,68,56,1645,1,0
22-07-11_23-56-20,B013,68,58,1650,1,0
22-07-11_23-56-21,B013,68,58,1655,1,0
22-07-11_23-56-24,Chairs (7),172,21,1840,1,0
22-07-11_23-56-24,Chairs (7),8,10,1845,1,0
22-07-11_23-56-24,Chairs (7),8,10,1850,1,0
22-07-11_23-56-25,B014 (2),32,16,1879,1,0
22-07-11_23-56-25,B014 (2),45,27,1884,1,0
22-07-11_23-56-26,B014 (2),45,27,1889,1,0
22-07-11_23-56-26,B014 (2),46,27,1894,1,0
22-07-11_23-56-26,B014 (2),46,27,1899,1,0
22-07-11_23-56-27,B014 (2),47,27,1904,1,0
22-07-11_23-56-30,builds (1),41,48,2172,1,0
22-07-11_23-56-30,builds (1),42,48,2177,1,0
22-07-11_23-56-30,builds (1),42,48,2182,1,0
22-07-11_23-56-31,builds (1),45,50,2187,1,0
22-07-11_23-56-31,builds (1),45,50,2192,1,0
22-07-11_23-56-31,builds (1),45,50,2197,1,0
22-07-11_23-56-32,B014 (2),43,23,2284,1,0
22-07-11_23-56-33,B014 (2),43,23,2289,1,0
22-07-11_23-56-33,B014 (2),43,23,2294,1,0
22-07-11_23-56-33,builds (1),43,23,2299,1,0
22-07-11_23-56-34,builds (1),39,44,2304,1,0
22-07-11_23-56-34,builds (1),39,44,2309,1,0
22-07-11_23-56-34,builds (1),39,44,2314,1,0
22-07-11_23-56-35,builds (1),38,43,2319,1,0
22-07-11_23-56-35,builds (1),39,43,2324,1,0
22-07-11_23-56-35,builds (1),38,43,2329,1,0
22-07-11_23-56-35,builds (1),39,43,2334,1,0
22-07-11_23-56-36,builds (1),39,43,2339,1,0
22-07-11_23-56-38,B014 (2),132,40,2540,1,0
22-07-11_23-56-38,B014 (2),30,17,2545,1,0
22-07-11_23-56-39,B014 (2),30,17,2550,1,0
22-07-11_23-56-39,B014 (2),30,17,2556,1,0
22-07-11_23-56-39,B014 (2),38,18,2561,1,0
22-07-11_23-56-40,B014 (2),37,18,2566,1,0
22-07-11_23-56-40,B014 (2),37,18,2571,1,0
22-07-11_23-56-40,B014 (2),37,18,2576,1,0
22-07-11_23-56-41,B014 (2),37,17,2581,1,0
22-07-11_23-56-41,B014 (2),37,17,2586,1,0
22-07-11_23-56-41,B014 (2),37,17,2591,1,0
22-07-11_23-56-41,B014 (2),37,17,2596,1,0
22-07-11_23-56-42,B014 (2),37,17,2601,1,0
22-07-11_23-56-42,B014 (2),37,17,2606,1,0
22-07-11_23-56-42,B014 (2),37,17,2611,1,0
22-07-11_23-56-43,B014 (2),37,17,2616,1,0
22-07-11_23-56-43,B014 (2),34,16,2621,1,0
22-07-11_23-56-43,B014 (2),33,16,2626,1,0
22-07-11_23-56-48,infoKiosk02,143,34,3027,1,0
22-07-11_23-56-48,infoKiosk02,62,46,3032,1,0
22-07-11_23-56-48,infoKiosk02,62,46,3037,1,0
22-07-11_23-56-49,infoKiosk02,62,47,3042,1,0
22-07-11_23-56-49,infoKiosk02,62,52,3047,1,0
22-07-11_23-56-49,infoKiosk02,62,46,3052,1,0
22-07-11_23-56-49,builds (1),62,46,3059,1,0
22-07-11_23-56-50,builds (1),60,49,3064,1,0
22-07-11_23-56-50,builds (1),60,49,3069,1,0
22-07-11_23-56-50,builds (1),60,49,3074,1,0
22-07-11_23-56-51,builds (1),60,49,3079,1,0
22-07-11_23-56-51,builds (1),60,49,3084,1,0
22-07-11_23-56-51,builds (1),61,49,3089,1,0
22-07-11_23-56-52,builds (1),60,48,3094,1,0
22-07-11_23-56-52,builds (1),115,15,3142,1,0
22-07-11_23-56-53,builds (1),13,24,3147,1,0
22-07-11_23-56-53,builds (1),13,24,3152,1,0
22-07-11_23-56-53,builds (1),13,24,3165,1,0
22-07-11_23-56-54,builds (1),7,23,3170,1,0
22-07-11_23-56-54,builds (1),6,23,3175,1,0
22-07-11_23-56-54,builds (1),6,23,3180,1,0
22-07-11_23-56-54,builds (1),6,23,3185,1,0
22-07-11_23-56-57,streetLight2 (35),92,8,3396,2,1
22-07-11_23-56-57,streetLight2 (35),51,13,3386,2,0
22-07-11_23-56-57,streetLight2 (35),93,8,3391,2,0
22-07-11_23-56-59,builds (1),10,6,3539,2,0
22-07-11_23-56-59,builds (1),54,31,3544,2,0
22-07-11_23-56-59,builds (1),54,31,3549,2,0
22-07-11_23-57-00,builds (1),55,31,3554,2,0
22-07-11_23-57-00,builds (1),55,32,3561,2,0
22-07-11_23-57-00,builds (1),53,30,3566,2,0
22-07-11_23-57-01,builds (1),53,30,3571,2,0
22-07-11_23-57-01,builds (1),53,30,3576,2,0
22-07-11_23-57-01,builds (1),53,30,3581,2,0
22-07-11_23-57-01,builds (1),141,13,3586,2,0
22-07-11_23-57-02,builds (1),51,28,3591,2,0
22-07-11_23-57-02,builds (1),51,28,3596,2,0
22-07-11_23-57-02,builds (1),52,28,3602,2,0
22-07-11_23-57-03,builds (1),53,29,3607,2,0
22-07-11_23-57-03,builds (1),53,29,3612,2,0
22-07-11_23-57-04,builds (1),138,11,3670,2,0
22-07-11_23-57-04,builds (1),59,33,3675,2,0
22-07-11_23-57-04,builds (1),59,33,3680,2,0
22-07-11_23-57-05,builds (1),59,33,3688,2,0
22-07-11_23-57-05,builds (1),64,40,3693,2,0
22-07-11_23-57-05,builds (1),66,43,3698,2,0
22-07-11_23-57-06,builds (1),65,42,3703,2,0
22-07-11_23-57-07,builds (1),2,29,3814,2,0
